channel,integral,time
5,748.3944,3787286261.671867
5,1195.7579,3787286261.6724157
5,2464.5771,3787286261.677207
4,432.1502,3787286261.6848636
5,243.06429,3787286261.6853166
4,1693.6045,3787286261.692126
5,293.5749,3787286261.6937056
5,452.22635,3787286261.696244
4,1360.8372,3787286261.696921
5,262.18094,3787286261.696921
5,1156.6837,3787286261.7070236
4,564.6375,3787286261.7124724
4,2534.8171,3787286261.714577
4,456.7524,3787286261.716545
5,1315.223,3787286261.716545
4,565.63983,3787286261.720913
5,1364.5564,3787286261.7357826
5,801.2035,3787286261.7358284
4,862.324,3787286261.74205
5,845.4914,3787286261.7429113
5,1307.4307,3787286261.7505
5,649.4475,3787286261.7511744
5,2526.9165,3787286261.7515306
4,436.7973,3787286261.753058
5,941.355,3787286261.7540107
4,464.67978,3787286261.7619333
5,1197.8322,3787286261.7679014
4,2551.4006,3787286261.772051
5,494.5521,3787286261.7731004
4,893.0312,3787286261.7871056
4,1341.7021,3787286261.7946935
5,1117.3291,3787286261.798034
5,288.4173,3787286261.812
5,1152.9276,3787286261.824413
5,1158.9822,3787286261.82663
4,537.02844,3787286261.833796
5,985.2504,3787286261.833796
4,456.57016,3787286261.839785
5,1043.3292,3787286261.8410378
5,520.5081,3787286261.8413568
4,423.22052,3787286261.844827
4,1283.1124,3787286261.8495336
5,612.2793,3787286261.8495336
5,284.10065,3787286261.870822
5,808.5474,3787286261.8732424
4,1610.4127,3787286261.8749723
4,1166.8444,3787286261.8864813
5,1340.3381,3787286261.8864813
4,1431.5457,3787286261.8866243
4,1277.6454,3787286261.8991
5,1161.2806,3787286261.904394
5,463.55057,3787286261.9060225
5,1760.2881,3787286261.9081774
5,1210.3898,3787286261.917003
4,871.61816,3787286261.9221516
5,1180.1731,3787286261.9221516
5,1075.4519,3787286261.93349
4,587.59955,3787286261.9348326
5,1260.62,3787286261.9480166
4,1374.2317,3787286261.9492292
5,1306.5337,3787286261.9523525
4,584.3193,3787286261.9535193
5,1171.8761,3787286261.9535193
5,516.07935,3787286261.96368
5,461.02786,3787286261.967416
4,1139.5997,3787286261.972138
4,767.4689,3787286261.9728956
5,760.2232,3787286261.9728956
4,877.5409,3787286261.975589
5,387.58847,3787286261.975589
4,519.16907,3787286261.9779916
4,1300.0607,3787286261.9781356
5,2078.8804,3787286261.9785414
5,662.39746,3787286261.9850993
5,1212.6322,3787286261.9860454
4,1187.5284,3787286261.986388
5,858.3292,3787286261.986388
4,2049.334,3787286261.9866366
5,577.68994,3787286261.9951844
4,518.16675,3787286261.9990835
5,259.9946,3787286262.0008473
4,468.5979,3787286262.004183
5,706.2929,3787286262.0044746
5,960.5277,3787286262.005898
5,446.4521,3787286262.0093603
4,646.1892,3787286262.009638
5,248.67035,3787286262.009638
4,1341.611,3787286262.011959
5,1298.573,3787286262.0163236
4,1199.5562,3787286262.018248
5,332.9294,3787286262.0208964
4,1063.5151,3787286262.022621
5,292.45367,3787286262.023585
4,1346.7137,3787286262.032373
5,1200.3549,3787286262.0357294
5,1174.511,3787286262.0397725
5,1391.2412,3787286262.042838
4,1154.3611,3787286262.0459228
5,1058.1852,3787286262.045973
5,1550.229,3787286262.050019
4,397.5249,3787286262.052854
4,1665.8131,3787286262.052947
5,395.2688,3787286262.0529475
5,2474.9485,3787286262.0561795
5,1321.2216,3787286262.0588074
4,1195.8203,3787286262.0689583
4,414.5642,3787286262.0735984
5,1376.8896,3787286262.0735984
5,751.702,3787286262.074874
4,1362.4773,3787286262.076557
5,1793.1395,3787286262.077697
4,1328.0343,3787286262.0781565
5,1165.5413,3787286262.0781565
5,423.46725,3787286262.080142
5,572.4202,3787286262.081665
5,1340.5624,3787286262.0823193
5,1343.1973,3787286262.086054
5,1354.5775,3787286262.087522
5,405.63998,3787286262.0938253
5,1364.4442,3787286262.094065
4,773.2094,3787286262.1099615
5,1338.7684,3787286262.116319
4,1304.3433,3787286262.1276655
4,1202.0164,3787286262.135424
4,644.0935,3787286262.1392326
5,252.48247,3787286262.14669
4,511.87952,3787286262.147105
4,1370.1313,3787286262.1481524
5,1164.0837,3787286262.1481524
4,1161.7417,3787286262.15236
5,681.0657,3787286262.15236
4,543.77124,3787286262.1652446
5,472.29602,3787286262.1652446
5,260.2749,3787286262.1718035
4,1320.6536,3787286262.1733503
5,2149.797,3787286262.174211
5,1311.2988,3787286262.1758556
